citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	times0	times1	region0	region1	country0	country1	lat0	lat1	lon0	lon1
Kursk, Kurskaya Oblast’, Russia	524.6	200.6	8.1	0.2	2	725.3327620035896	323.9522684042286	7.9000000000000075	8.466666666666672	Colorado	Colorado	United States	United States	46.172916081712955	54.587485719041304	41.378649219188816	37.21830065359477
Le Havre, France	393.6	147.5	7.8	0.2	2	246.09502745252794	541.1844720690087	7.6000000000000085	8.100000000000007	Colorado	Colorado	United States	United States	47.32234337538671	44.954623175482254	0.657080591737838	2.6509803921568604
Constanţa, Romania	302.2	22.4	7.9	0	2	279.77993801687296	324.6313978392262	7.9000000000000075	7.966666666666674	Colorado	Colorado	United States	United States	45.93204159670027	45.48432961559431	26.021786474090774	24.909803921568624
Osnabrück, Germany	278.5	43.9	8.4	0	2	322.54181389979505	234.56307338516922	8.366666666666672	8.466666666666672	Colorado	Colorado	United States	United States	49.73516886287073	50.840827528231536	10.262309349907767	10.530718954248364
Norwich, United Kingdom	181.6	30.5	8.3	0	2	151.05309610505185	212.21710639631522	8.300000000000006	8.33333333333334	Colorado	Colorado	United States	United States	52.91458623345946	53.39731238603207	-0.8958605847327519	-1.605228758169936
Bergen, Norway	160.6	135.8	8	0.1	2	296.4821457637819	24.731972709230707	8.000000000000007	8.166666666666673	Colorado	Colorado	United States	United States	60.38935575709904	60.32975450508617	10.72244006886202	5.75686274509804
Babruysk, Belarus	120	60.3	8.3	0	2	59.71429983182764	180.3431563776168	8.366666666666672	8.23333333333334	Colorado	Colorado	United States	United States	53.50353007794842	52.911679273326385	28.552505428339146	26.520261437908495
Zaporizhzhya, Ukraine	115.6	58.7	8.3	0	2	56.89011184005153	174.48206068390152	8.433333333333339	8.266666666666673	Colorado	Colorado	United States	United States	48.062140492294596	48.251870978094665	34.476688434875086	32.90457516339869
Budapest, Hungary	49.5	8.7	7.3	0.7	2	58.320992318750136	40.86182601905328	6.566666666666679	8.100000000000007	Colorado	Colorado	United States	United States	47.007707817265626	47.16198096452374	19.349891049254175	18.870588235294115
Zwolle, Netherlands	46.4	30.6	7.9	0	2	77.09267968875275	15.83431763343403	7.933333333333341	8.000000000000007	Colorado	Colorado	United States	United States	52.42347940348734	52.385246777437104	4.970806081933915	6.044444444444444
Gdańsk, Poland	32.8	18.5	8	0.3	2	51.35262916072455	14.260558900169357	8.33333333333334	7.666666666666675	Colorado	Colorado	United States	United States	54.690708121004356	54.25090444448093	18.08453157212999	18.755555555555553
